Transaction Date,Post Date,Description,Category,Type,Amount
07/01/2026,07/01/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
07/01/2026,07/02/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
07/02/2026,07/03/2026,CORNER MARKET #1247,Groceries,Sale,-62.15
07/03/2026,07/04/2026,SKYSTREAM PLUS MONTHLY,Entertainment,Sale,-14.99
07/03/2026,07/04/2026,CLOUDVAULT BACKUP,Bills & Utilities,Sale,-9.99
07/04/2026,07/05/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
07/05/2026,07/06/2026,CITY ELECTRIC CO AUTOPAY,Bills & Utilities,Sale,-130.25
07/06/2026,07/07/2026,RIVERDALE GYM MONTHLY,Health & Wellness,Sale,-49.99
07/07/2026,07/08/2026,CORNER MARKET #1247,Groceries,Sale,-51.80
07/08/2026,07/09/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.50
07/09/2026,07/10/2026,FUEL DEPOT #88,Transportation,Sale,-45.90
07/10/2026,07/11/2026,SUNRISE DINER,Food & Drink,Sale,-22.60
07/14/2026,07/15/2026,CORNER MARKET #1247,Groceries,Sale,-58.95
07/15/2026,07/16/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
07/16/2026,07/17/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
07/18/2026,07/19/2026,CITY PARKING AUTHORITY,Transportation,Sale,-18.00
07/21/2026,07/22/2026,CORNER MARKET #1247,Groceries,Sale,-47.60
07/23/2026,07/24/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.25
07/24/2026,07/25/2026,STREAMFLIX SUBSCRIPTION,Entertainment,Sale,-19.99
07/25/2026,07/26/2026,FUEL DEPOT #88,Transportation,Sale,-46.20
07/26/2026,07/27/2026,SUNRISE DINER,Food & Drink,Sale,-20.15
07/28/2026,07/29/2026,CORNER MARKET #1247,Groceries,Sale,-64.25
07/29/2026,07/30/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
07/30/2026,07/31/2026,PHARMACY PLUS #210,Health & Wellness,Sale,-31.40
