Transaction Date,Post Date,Description,Category,Type,Amount
08/01/2026,08/01/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
08/01/2026,08/02/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
08/02/2026,08/03/2026,CORNER MARKET #1247,Groceries,Sale,-61.35
08/03/2026,08/04/2026,SKYSTREAM PLUS MONTHLY,Entertainment,Sale,-14.99
08/03/2026,08/04/2026,CLOUDVAULT BACKUP,Bills & Utilities,Sale,-9.99
08/04/2026,08/05/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
08/05/2026,08/06/2026,CITY ELECTRIC CO AUTOPAY,Bills & Utilities,Sale,-122.75
08/06/2026,08/07/2026,RIVERDALE GYM MONTHLY,Health & Wellness,Sale,-49.99
08/07/2026,08/08/2026,CORNER MARKET #1247,Groceries,Sale,-55.20
08/08/2026,08/09/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.25
08/09/2026,08/10/2026,FUEL DEPOT #88,Transportation,Sale,-46.80
08/10/2026,08/11/2026,SUNRISE DINER,Food & Drink,Sale,-23.15
08/12/2026,08/13/2026,MEGAMART ONLINE,Shopping,Sale,-89.99
08/13/2026,08/14/2026,MEGAMART ONLINE,Shopping,Sale,-89.99
08/14/2026,08/15/2026,CORNER MARKET #1247,Groceries,Sale,-68.40
08/15/2026,08/16/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
08/16/2026,08/17/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
08/17/2026,08/18/2026,HARBORVIEW HOTEL,Travel,Sale,-318.00
08/17/2026,08/18/2026,BLUE WAVE SEAFOOD,Food & Drink,Sale,-96.40
08/18/2026,08/19/2026,COASTAL CAB CO,Transportation,Sale,-34.50
08/18/2026,08/19/2026,THE GILDED FORK,Food & Drink,Sale,-142.85
08/19/2026,08/20/2026,SEASIDE BAR & GRILL,Food & Drink,Sale,-78.20
08/20/2026,08/21/2026,HARBORVIEW HOTEL,Travel,Sale,-318.00
08/21/2026,08/22/2026,AIRPORT NEWS & GIFTS,Shopping,Sale,-28.75
08/22/2026,08/23/2026,CORNER MARKET #1247,Groceries,Sale,-59.60
08/23/2026,08/24/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.25
08/24/2026,08/25/2026,STREAMFLIX SUBSCRIPTION,Entertainment,Sale,-19.99
08/25/2026,08/26/2026,FUEL DEPOT #88,Transportation,Sale,-43.55
08/26/2026,08/27/2026,SUNRISE DINER,Food & Drink,Sale,-20.40
08/27/2026,08/28/2026,MEGA ONLINE STORE,Shopping,Sale,-156.40
08/28/2026,08/29/2026,CORNER MARKET #1247,Groceries,Sale,-51.30
08/29/2026,08/30/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
08/29/2026,08/30/2026,CITY PARKING AUTHORITY,Transportation,Sale,-18.00
08/30/2026,08/31/2026,PHARMACY PLUS #210,Health & Wellness,Sale,-33.15
