Transaction Date,Post Date,Description,Category,Type,Amount
06/01/2026,06/01/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
06/01/2026,06/02/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
06/02/2026,06/03/2026,CORNER MARKET #1247,Groceries,Sale,-57.90
06/03/2026,06/04/2026,SKYSTREAM PLUS MONTHLY,Entertainment,Sale,-14.99
06/03/2026,06/04/2026,CLOUDVAULT BACKUP,Bills & Utilities,Sale,-9.99
06/04/2026,06/05/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.25
06/05/2026,06/06/2026,CITY ELECTRIC CO AUTOPAY,Bills & Utilities,Sale,-124.10
06/06/2026,06/07/2026,RIVERDALE GYM MONTHLY,Health & Wellness,Sale,-49.99
06/07/2026,06/08/2026,CORNER MARKET #1247,Groceries,Sale,-63.45
06/08/2026,06/09/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
06/09/2026,06/10/2026,FUEL DEPOT #88,Transportation,Sale,-44.60
06/10/2026,06/11/2026,SUNRISE DINER,Food & Drink,Sale,-21.75
06/14/2026,06/15/2026,CORNER MARKET #1247,Groceries,Sale,-49.25
06/15/2026,06/16/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
06/16/2026,06/17/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.50
06/18/2026,06/19/2026,CITY PARKING AUTHORITY,Transportation,Sale,-18.00
06/21/2026,06/22/2026,CORNER MARKET #1247,Groceries,Sale,-66.70
06/23/2026,06/24/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
06/24/2026,06/25/2026,STREAMFLIX SUBSCRIPTION,Entertainment,Sale,-19.99
06/25/2026,06/26/2026,FUEL DEPOT #88,Transportation,Sale,-47.85
06/26/2026,06/27/2026,SUNRISE DINER,Food & Drink,Sale,-19.30
06/28/2026,06/29/2026,CORNER MARKET #1247,Groceries,Sale,-54.35
06/29/2026,06/30/2026,OAK STREET COFFEE,Food & Drink,Sale,-6.25
06/30/2026,07/01/2026,PHARMACY PLUS #210,Health & Wellness,Sale,-29.85
